✓,Card,Type,Color,View,Picked By,
✓,Sanguine Evangelist,Creature — Vampire Cleric,W,View,Neo,$G$21
✓,Skyclave Apparition,Creature — Kor Spirit,W,View,joshez,$C$11
✓,"Suki, Courageous Rescuer",Legendary Creature — Human Warrior Ally,W,View,Neo,$G$45
✓,"Toby, Beastie Befriender",Legendary Creature — Human Wizard,W,View,Neo,$G$13
✓,Ranger of Eos,Creature — Human Soldier Ranger,W,View,dgcritch,$I$43
✓,Restoration Angel,Creature — Angel,W,View,Neo,$G$46
✓,Serra Paragon,Creature — Angel,W,View,Neo,$G$43
✓,Witch Enchanter,Creature — Human Warlock,W,View,Neo,$G$23
✓,Solitude,Creature — Elemental Incarnation,W,View,Neo,$G$5
✓,Timeless Dragon,Creature — Dragon,W,View,joshez,$C$26
✓,Eagles of the North,Creature — Bird Soldier,W,View,joshez,$C$27
✓,Overlord of the Mistmoors,Enchantment Creature — Avatar Horror,W,View,Neo,$G$11
✓,Condemn,Instant,W,View,dgcritch,$I$33
✓,Ephemerate,Instant,W,View,Neo,$G$36
✓,Mana Tithe,Instant,W,View,Neo,$G$14
✓,Path to Exile,Instant,W,View,joshez,$C$7
✓,Swords to Plowshares,Instant,W,View,joshez,$C$4
✓,Reprieve,Instant,W,View,Siddharth ,$H$10
✓,Thraben Charm,Instant,W,View,Neo,$G$31
✓,Unexpectedly Absent,Instant,W,View,joshez,$C$13
✓,Oust,Sorcery,W,View,Siddharth ,$H$7
✓,Prismatic Ending,Sorcery,W,View,clorpy,$F$38
✓,Winds of Abandon,Sorcery,W,View,Neo,$G$17
✓,Sevinne's Reclamation,Sorcery,W,View,Siddharth ,$H$26
,Battle Screech,Sorcery,W,View,,
✓,Day of Judgment,Sorcery,W,View,joshez,$C$24
✓,Sunfall,Sorcery,W,View,joshez,$C$25
✓,Portable Hole,Artifact,W,View,Neo,$G$19
,Collector's Cage,Artifact,W,View,,
✓,Glimmer Lens,Artifact — Equipment,W,View,Neo,$G$22
✓,Staff of the Storyteller,Artifact,W,View,Siddharth ,$H$22
✓,Maul of the Skyclaves,Artifact — Equipment,W,View,Neo,$G$39
✓,Unidentified Hovership,Artifact — Vehicle,W,View,Neo,$G$38
✓,Legion's Landing,Legendary Enchantment,W,View,Siddharth ,$H$31
,Michiko's Reign of Truth,Enchantment — Saga,W,View,,
✓,Sheltered by Ghosts,Enchantment — Aura,W,View,Neo,$G$16
✓,Aang's Iceberg,Enchantment,W,View,clorpy,$F$30
,Caretaker's Talent,Enchantment — Class,W,View,,
✓,Wedding Announcement,Enchantment,W,View,dgcritch,$I$44
✓,Virtue of Loyalty,Enchantment,W,View,Neo,$G$33
✓,"Gideon, Ally of Zendikar",Legendary Planeswalker — Gideon,W,View,Neo,$G$34
✓,The Wandering Emperor,Legendary Planeswalker,W,View,joshez,$C$21
✓,Abandoned Air Temple,Land,W,View,Neo,$G$24
✓,Mockingbird,Creature — Bird Bard,U,View,Siddharth ,$H$36
✓,Phantasmal Shieldback,Creature — Turtle Illusion,U,View,joshez,$C$44
✓,Spyglass Siren,Creature — Siren Pirate,U,View,Bludac,$D$42
✓,Duelist of the Mind,Creature — Human Advisor,U,View,Bludac,$D$46
✓,Faerie Mastermind,Creature — Faerie Rogue,U,View,drewshaver,$L$42
✓,Floodpits Drowner,Creature — Merfolk,U,View,drewshaver,$L$14
✓,"Jace, Vryn's Prodigy",Legendary Creature — Human Wizard,U,View,Balbadorf,$J$43
✓,"Kitsa, Otterball Elite",Legendary Creature — Otter Wizard,U,View,Balbadorf,$J$44
✓,Ledger Shredder,Creature — Bird Advisor,U,View,Bludac,$D$27
✓,"Malcolm, Alluring Scoundrel",Legendary Creature — Siren Pirate,U,View,drewshaver,$L$15
,Mischievous Mystic,Creature — Human Wizard,U,View,,
✓,Phantasmal Image,Creature — Illusion,U,View,Siddharth ,$H$39
,Silent Hallcreeper,Enchantment Creature — Horror,U,View,,
✓,Snapcaster Mage,Creature — Human Wizard,U,View,Balbadorf,$J$25
✓,"Wan Shi Tong, Librarian",Legendary Creature — Bird Spirit,U,View,drewshaver,$L$4
✓,Abhorrent Oculus,Creature — Eye,U,View,Bludac,$D$25
