 ,Card,Type,Color,View,UR,
✓,Mizzium Mortars,Sorcery,R,View,Mr. Fancypants,$L$29
,Mizzix's Mastery,Sorcery,R,View,,
✓,Pyrite Spellbomb,Artifact,R,View,Mr. Fancypants,$L$24
✓,Chainsaw,Artifact — Equipment,R,View,Aviseras,$E$46
✓,Cori-Steel Cutter,Artifact — Equipment,R,View,Aviseras,$E$10
✓,Legion Extruder,Artifact,R,View,Mr. Fancypants,$L$27
✓,Embercleave,Legendary Artifact — Equipment,R,View,Mr. Fancypants,$L$37
✓,Kumano Faces Kakkazan,Enchantment — Saga,R,View,Aviseras,$E$44
✓,Goblin Bombardment,Enchantment,R,View,Aviseras,$E$31
✓,Fable of the Mirror-Breaker,Enchantment — Saga,R,View,Keith,$D$4
✓,Fires of Invention,Enchantment,R,View,clong,$K$33
✓,"Chandra, Torch of Defiance",Legendary Planeswalker — Chandra,R,View,Aviseras,$E$20
✓,Arena of Glory,Land,R,View,Aviseras,$E$27
✓,Birds of Paradise,Creature — Bird,G,View,clong,$K$15
✓,Elvish Mystic,Creature — Elf Druid,G,View,Tendertouch,$F$15
✓,Llanowar Elves,Creature — Elf Druid,G,View,Nova,$J$15
✓,Molt Tender,Creature — Insect Druid,G,View,Tendertouch,$F$20
✓,Pawpatch Recruit,Creature — Rabbit Warrior,G,View,Nova,$J$29
✓,Sazh's Chocobo,Creature — Bird,G,View,Nova,$J$13
✓,Sylvan Safekeeper,Creature — Human Wizard,G,View,Tendertouch,$F$18
✓,Badgermole Cub,Creature — Badger Mole,G,View,Tendertouch,$F$4
✓,"Bristly Bill, Spine Sower",Legendary Creature — Plant Druid,G,View,Nova,$J$7
,Cankerbloom,Creature — Phyrexian Fungus,G,View,,
✓,Fanatic of Rhonas,Creature — Snake Druid,G,View,clong,$K$17
✓,Keen-Eyed Curator,Creature — Raccoon Scout,G,View,Nova,$J$33
✓,Lotus Cobra,Creature — Snake,G,View,Nova,$J$19
✓,Nishoba Brawler,Creature — Cat Warrior,G,View,Nova,$J$44
✓,"Rofellos, Llanowar Emissary",Legendary Creature — Elf Druid,G,View,Tendertouch,$F$30
✓,Scavenging Ooze,Creature — Ooze,G,View,Tendertouch,$F$43
✓,Scythecat Cub,Creature — Cat,G,View,Nova,$J$5
✓,Springheart Nantuko,Enchantment Creature — Insect Monk,G,View,Tendertouch,$F$5
✓,Sylvan Caryatid,Creature — Plant,G,View,clong,$K$25
✓,Tarmogoyf,Creature — Lhurgoyf,G,View,clong,$K$47
✓,Tough Cookie,Artifact Creature — Food Golem,G,View,Tendertouch,$F$48
,Voracious Hydra,Creature — Hydra,G,View,,
✓,Endurance,Creature — Elemental Incarnation,G,View,Tendertouch,$F$10
,Eternal Witness,Creature — Human Shaman,G,View,,
✓,"Sandman, Shifting Scoundrel",Legendary Creature — Sand Elemental Villain,G,View,Nova,$J$20
,Sandstorm Salvager,Creature — Human Artificer,G,View,,
✓,Sentinel of the Nameless City,Creature — Merfolk Warrior Scout,G,View,clong,$K$34
✓,Six,Legendary Creature — Treefolk,G,View,Tendertouch,$F$7
✓,"Surrak, Elusive Hunter",Legendary Creature — Human Warrior,G,View,Nova,$J$42
✓,Tireless Tracker,Creature — Human Scout,G,View,Nova,$J$8
✓,Bristlebud Farmer,Creature — Plant Druid,G,View,Tendertouch,$F$36
✓,Icetill Explorer,Creature — Insect Scout,G,View,Tendertouch,$F$6
,"Polukranos, World Eater",Legendary Creature — Hydra,G,View,,
✓,Questing Beast,Legendary Creature — Beast,G,View,Tendertouch,$F$19
✓,Timeless Witness,Creature — Human Shaman,G,View,clong,$K$48
✓,Ulvenwald Oddity,Creature — Beast,G,View,Tendertouch,$F$38
✓,Agonasaur Rex,Creature — Dinosaur,G,View,Tendertouch,$F$35
✓,Balustrade Wurm,Creature — Wurm,G,View,Tendertouch,$F$41
✓,Overlord of the Hauntwoods,Enchantment Creature — Avatar Horror,G,View,Nova,$J$25
,Thragtusk,Creature — Beast,G,View,,
✓,"Titania, Protector of Argoth",Legendary Creature — Elemental,G,View,Tendertouch,$F$8
,Generous Ent,Creature — Treefolk,G,View,,
✓,"Lumra, Bellow of the Woods",Legendary Creature — Elemental Bear,G,View,Nova,$J$32
✓,Primeval Titan,Creature — Giant,G,View,Nova,$J$27
,Titan of Industry,Creature — Elemental,G,View,,
✓,Vaultborn Tyrant,Creature — Dinosaur,G,View,Tendertouch,$F$31
,Woodfall Primus,Creature — Treefolk Shaman,G,View,,
✓,Inscription of Abundance,Instant,G,View,Tendertouch,$F$42
✓,Green Sun's Zenith,Sorcery,G,View,Tendertouch,$F$21
✓,Pest Infestation,Sorcery,G,View,Tendertouch,$F$23
✓,Primal Might,Sorcery,G,View,Nova,$J$41
✓,Esper Origins,Sorcery,G,View,Tendertouch,$F$29
✓,Malevolent Rumble,Sorcery,G,View,Tendertouch,$F$11
